Air_Temperature,Process_Temperature,Rotational_Speed,Torque,Tool_wear,Operation
303.58,312.95,1543.5,25.37,0.07,0
300.87,312.19,1469.48,25.98,0.14,0
300.19,313.4,1148.84,28.6,0.2,0
296.27,306.51,1282.71,29.31,0.27,0
299.45,312.54,1485.37,23.25,0.32,0
299.29,310.46,1478.04,23.93,0.36,0
299.83,310.65,1565.4,26.33,0.41,0
298.75,307.02,1517.78,27.35,0.48,0
299.91,311.67,1456.31,28.63,0.53,0
299.05,308.46,1392.22,24.54,0.58,0
297.37,309.29,1590.9,22.13,0.65,0
301.77,311.64,1769.7,22.49,0.68,0
301.76,310.46,1582.4,24.67,0.74,0
303.42,314.4,1518.29,25.32,0.79,0
300.1,310.35,1493.14,23.84,0.83,0
299.19,307.69,1643.0,25.86,0.87,0
298.91,309.27,1659.76,22.49,0.92,0
296.91,308.2,1489.58,27.39,0.98,0
301.96,313.39,1532.13,26.13,1.04,0
297.8,307.0,1432.75,27.0,1.08,0
297.63,309.25,1472.3,25.02,1.13,0
299.59,311.89,1531.78,26.71,1.21,0
302.97,314.47,1494.63,24.28,1.25,0
300.47,310.89,1462.95,28.97,1.3,0
297.95,308.0,1450.27,26.53,1.34,0
298.57,309.97,1431.05,29.24,1.39,0
301.25,308.62,1445.74,23.83,1.44,0
299.68,310.3,1463.1,24.74,1.48,0
298.46,306.93,1573.37,25.66,1.54,0
299.54,308.49,1403.58,26.65,1.59,0
301.49,309.16,1591.11,23.29,1.63,0
303.95,313.79,1440.11,28.95,1.68,0
297.51,308.53,1286.44,25.74,1.74,0
298.75,308.04,1425.55,26.52,1.78,0
298.39,308.29,1499.18,23.52,1.83,0
295.16,305.05,1519.82,26.03,1.89,0
298.15,309.84,1462.54,27.84,1.92,0
297.95,309.4,1483.74,24.14,1.96,0
302.25,310.86,1552.42,27.0,2.02,0
299.74,307.38,1592.58,21.55,2.06,0
296.75,304.47,1419.97,25.08,2.12,0
301.29,313.46,1499.01,26.21,2.19,0
299.29,308.94,1511.9,25.31,2.22,0
296.51,304.86,1485.32,26.11,2.28,0
298.81,307.35,1423.56,29.62,2.34,0
298.82,312.5,1730.75,25.09,2.39,0
298.25,307.47,1433.68,27.98,2.44,0
300.06,306.79,1384.66,23.77,2.49,0
295.5,304.5,1297.64,26.55,2.55,0
299.46,310.1,1454.7,22.41,2.63,0
302.03,310.63,1477.9,23.97,2.67,0
301.71,311.51,1524.15,25.8,2.73,0
302.22,311.41,1609.98,23.31,2.77,0
