Air_Temperature,Process_Temperature,Rotational_Speed,Torque,Tool_wear,Operation
303.58,312.95,1530.51,25.5,0.07,0
300.87,312.19,1308.45,27.59,0.14,0
300.19,313.4,346.53,36.62,0.2,1
296.27,306.51,748.12,34.65,0.27,1
299.45,312.54,1356.1,24.54,0.32,0
299.29,310.46,1334.12,25.37,0.36,0
299.83,310.65,1596.21,26.02,0.41,0
298.75,307.02,1453.35,27.99,0.48,1
299.91,311.67,1268.94,30.51,0.53,0
299.05,308.46,1076.65,27.69,0.58,1
297.37,309.29,1672.71,21.31,0.65,0
301.77,311.64,2209.09,18.09,0.68,1
301.76,310.46,1647.2,24.03,0.74,0
303.42,314.4,1454.86,25.95,0.79,0
300.1,310.35,1379.43,24.98,0.83,0
299.19,307.69,1829.0,24.0,0.87,1
298.91,309.27,1879.28,20.3,0.92,1
296.91,308.2,1368.74,28.6,0.98,0
301.96,313.39,1496.39,26.49,1.04,0
297.8,307.0,1198.26,29.35,1.08,1
297.63,309.25,1316.91,26.58,1.13,0
299.59,311.89,1495.35,27.08,1.21,0
302.97,314.47,1383.9,25.39,1.25,0
300.47,310.89,1288.84,30.71,1.3,0
297.95,308.0,1250.81,28.53,1.34,0
298.57,309.97,1193.15,31.62,1.39,1
301.25,308.62,1237.22,25.91,1.44,1
299.68,310.3,1289.29,26.48,1.48,0
298.46,306.93,1620.1,25.19,1.54,1
299.54,308.49,1110.74,29.58,1.59,1
301.49,309.16,1673.32,22.47,1.63,1
303.95,313.79,1220.34,31.14,1.68,0
297.51,308.53,759.33,31.01,1.74,1
298.75,308.04,1176.66,29.01,1.78,1
298.39,308.29,1397.53,24.53,1.83,0
295.16,305.05,1459.45,26.64,1.89,0
298.15,309.84,1287.63,29.59,1.92,0
297.95,309.4,1351.23,25.46,1.96,0
302.25,310.86,1557.27,26.95,2.02,0
299.74,307.38,1677.75,20.7,2.06,1
296.75,304.47,1159.92,27.68,2.12,1
301.29,313.46,1397.04,27.23,2.19,0
299.29,308.94,1435.69,26.07,2.22,0
296.51,304.86,1355.96,27.41,2.28,1
298.81,307.35,1170.68,32.15,2.34,1
298.82,312.5,2092.24,21.48,2.39,1
298.25,307.47,1201.05,30.31,2.44,0
300.06,306.79,1053.97,27.08,2.49,1
295.5,304.5,792.93,31.59,2.55,1
299.46,310.1,1264.09,24.32,2.63,0
302.03,310.63,1333.71,25.41,2.67,1
301.71,311.51,1472.46,26.32,2.73,0
302.22,311.41,1729.94,22.11,2.77,0
302.24,312.96,1630.45,25.06,2.82,0
302.98,314.53,1026.58,26.95,2.87,1
297.76,305.94,1336.99,27.71,2.91,1
301.69,312.13,1355.85,25.86,2.95,0
296.28,306.18,1121.59,28.0,2.98,1
298.79,307.92,1443.17,25.18,3.05,0
296.17,305.33,1616.98,27.0,3.1,0
302.1,312.66,973.0,30.09,3.13,1
302.67,311.01,1272.34,26.74,3.19,1
299.61,309.62,1445.25,23.43,3.24,0
303.55,315.58,2003.92,21.11,3.3,1
298.65,306.44,1209.97,29.85,3.36,1
300.3,311.91,1925.61,22.36,3.41,1
300.31,308.14,1412.31,24.16,3.46,1
297.87,306.79,1579.39,21.87,3.52,0
300.88,307.21,1742.58,20.02,3.57,1
303.88,313.85,2157.28,17.06,3.61,1
297.95,306.34,829.47,27.76,3.67,1
301.8,310.72,1219.7,25.51,3.72,0
299.69,310.64,1460.37,25.86,3.78,0
303.54,313.9,1213.43,26.53,3.83,0
300.97,308.82,1733.22,20.99,3.87,1
301.35,313.58,1369.09,23.91,3.92,0
301.29,311.28,1468.75,26.54,3.95,0
300.5,309.4,1673.68,25.32,3.99,0
297.21,307.37,1253.91,26.78,4.04,0
302.78,313.33,1229.63,28.91,4.11,0
297.26,306.68,796.6,33.81,4.14,1
300.48,308.65,1756.04,23.61,4.19,1
301.23,310.66,1270.01,25.16,4.24,0
298.32,309.74,1561.26,24.38,4.28,0
300.29,311.68,1634.79,23.9,4.33,0
302.34,313.1,1182.02,27.2,4.4,1
299.95,315.19,1325.55,29.09,4.43,0
298.22,306.41,1121.21,30.51,4.47,1
294.17,302.42,1741.09,21.87,4.53,1
